SID,Region,TGL,CO,Grid ,Dependancy,Sub Cities,NPS Sites,Corporate Client Site,Technology,Site Importance,Single City Region (RAN),Single City Region (Com),Site Category,Revenue Cat,OnAirDate,"New 
USF Sites",Sharing Status,Shared With,OMO Site ID,"Locked Site
Expire Date","DG Opertational Status
(696 Update)",Solar Sites,Li-Ion Sites,"Jan-25
(Fuel)","Feb-25
(Fuel)","Mar-25
(Fuel)","Apr-25
(Fuel)","May-25
(Fuel)","Jun-25
(Fuel)","Jul-25
(Fuel)","Aug-25
(Fuel)","Sep-25
(Fuel)","Oct-25
(Fuel)","Nov-25
(Fuel)","Dec-25
(Fuel)",Jan 25 TCH%,Feb 25 TCH%,Mar 25 TCH%,Apr 25 TCH%,May 25 TCH%,Jun 25 TCH%,Jul 25 TCH%,Aug 25 TCH%,Sep 25 TCH%,q1,q2,q3,Oct 25 TCH%,Nov 25 TCH%,Dec 25 TCH%,Jan 26 TCH%,Feb 26 TCH%,2026-01-20 00:00:00,2026-01-21 00:00:00,2026-01-22 00:00:00,2026-01-23 00:00:00,2026-01-24 00:00:00,2026-01-25 00:00:00,2026-01-26 00:00:00,2026-01-27 00:00:00,2026-01-28 00:00:00,2026-01-29 00:00:00,2026-01-30 00:00:00,2026-01-31 00:00:00,2026-02-01 00:00:00,2026-02-02 00:00:00,2026-02-03 00:00:00,2026-02-04 00:00:00,2026-02-05 00:00:00,2026-02-06 00:00:00,2026-02-07 00:00:00,2026-02-08 00:00:00,2026-02-09 00:00:00,2026-02-10 00:00:00
96,South-2,muhammad.aamir,yaseen.ali,S2010,63,Mirpurkhas,No,No,2G+3G+4G,PTN Node Site,-,-,Platinum,PGS,2004-04-30,Non USF Sites,Not Shared,-,-,-,Yes,-,2024-06-11 00:00:00,1110,1090,1410,1830,1440,1620,1620,2340,1600,2250,2190,1980,99.35345107526884,99.89785714285713,98.68940430107529,99.88955055555554,99.82645161290323,99.9211111111111,99.92651160919542,99.74146022222223,99.76100000000001,99.31357083973376,99.87903775985662,99.80965727713921,99.28128924731185,99.60539388888886,99.82172043010753,99.74218655913975,99.744248,99.94333333333333,98.26111666666667,99.63333333333333,99.77,99.81666666666666,99.71333333333332,99.75999999999999,99.72666666666667,99.70666666666666,99.69333333333333,99.75333333333333,100,99.82,100,99.71999999999998,99.90976333333333,99.02086666666666,99.83851666666665,99.94666666666667,99.71,99.77333333333333,99.70333333333333
2101,South-1,Moiz.Hussain,Mshahzeeb_s1,S1011,34,Highway,No,Yes,2G+3G+4G,PTN Node Site,-,-,Platinum,PGS,2004-09-30,Non USF Sites,Not Shared,-,-,-,Yes,-,-,900,200,0,0,300,0,0,0,300,0,0,30,99.96395311827956,99.90285714285713,99.98849462365591,99.9582251111111,99.99075268817204,99.99755555555556,99.89859839506171,95.51968537634414,89.83574722222221,99.95176829493086,99.98217778494624,95.08467699787603,99.78537215053763,99.74413144444443,99.68122032258063,99.96806451612902,99.99748333333334,100,100,99.85000000000001,100,100,100,100,100,100,100,99.86666666666667,100,100,100,100,100,100,100,100,100,100,99.97483333333332
129,South-1,aqib.rasheed,AAFaroqui_s1,S1002,0,Saddar,No,Yes,2G+3G+4G,BTS,-,-,Gold,PGS,2004-09-30,Non USF Sites,Not Shared,-,-,-,-,-,2022-09-28 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,88.1722431182796,89.40364023809524,88.74299311827957,87.96692755555553,86.31104763440861,86.50565255555556,87.74306785714285,97.67730144444447,95.11532266666669,88.77295882488481,86.92787591517323,93.51189732275134,86.8299469892473,90.18876266666668,89.6936930107527,92.8480670967742,95.705136,98.48333333333333,98.36,97.68,95.03409666666666,97.39148333333333,97.54551333333332,97.6999,97.7,90.18015333333334,85.77119333333333,61.26782666666667,59.03897666666666,96.29119333333331,95.00060666666667,96.27496000000001,96.33783666666666,96.23538,95.32068666666667,95.54527333333334,94.50415333333332,97.64666666666666,93.89460333333334
122,South-1,Aman.Siddiqui,omer.farooq,S1007,8,Highway,No,Yes,2G+3G+4G,Major HUB,-,-,Platinum,PGS,2004-09-30,Non USF Sites,Shared as Guest,Telecard,Kathore,-,Yes,-,2024-10-09 00:00:00,2020,1740,2010,1860,1620,1410,930,1410,1020,2070,2590,2940,99.93810763440858,99.98445690476191,99.33979000000001,99.95183277777778,99.32215021505374,99.66026988888892,99.83035741935484,91.5988052688172,92.9432041111111,99.75411817972349,99.64475096057349,94.79078893309436,98.85269333333333,99.20047833333335,98.97593860215055,98.8144341935484,98.930131,98.77,99.00999999999999,97.66815666666666,98.56666666666666,98.39666666666666,99.02,98.35666666666667,98.59333333333332,98.80666666666667,99.39333333333333,99.04333333333334,98.79,98.47333333333334,98.33666666666666,98.98666666666666,98.89,100,99.14666666666666,98.83130999999999,98.85666666666667,98.74000000000001,99.04
117,South-1,salman.amin,Muhammad.Kashif,S1003,0,Orangi Town,No,No,2G+3G+4G,BTS,-,-,Gold,PGS,2004-09-30,Non USF Sites,Shared as Guest,Telecard,Orangi 2,-,-,-,2024-05-30 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,98.07645161290321,98.13250000000001,99.21591107526879,98.63744444444443,98.12053204301074,98.67802733333333,98.64230833333335,98.61071860215054,99.05454499999999,98.47495422939066,98.47866794026282,98.7691906451613,95.49338301075268,93.61607677777778,98.06083580645158,98.59086021505377,98.05066666666667,98.77666666666666,98.82,98.80333333333333,98.28000000000002,98.55333333333333,98.43,98.73333333333333,97.8,98.52,99.00333333333333,98.75666666666666,98.14999999999999,98.19,98.21666666666665,97.46999999999998,99.11,97.38666666666666,98.12666666666667,98.04333333333334,98.49000000000001,97.40666666666668,98.06666666666666
115,South-1,aqib.rasheed,yousuf.gul.khan,S1002,0,Other Cities,No,Yes,2G+3G+4G,BTS,-,-,Gold,PGS,2004-09-30,Non USF Sites,Shared as Guest,Telecard,HAWKS BAY TRUCK STAND,-,-,-,2023-06-10 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,67.67105172043011,72.40721047619049,73.33551483870967,71.27831688888888,70.59428430107528,54.69455355555556,0.12583333333333338,4.835242473118281,83.36607255555556,71.13792567844342,65.52238491517323,29.442382787335728,99.45784946236557,94.93046288888891,91.99333494623656,82.42540387096773,98.17485400000001,77.96104,84.47473000000001,84.64156333333334,83.81301333333333,83.91041666666666,83.94483333333334,83.90610333333333,85.15187333333334,94.92333333333333,94.50538666666667,97.72333333333334,98.13,98.41333333333334,97.81,97.68,98.33,98.99854,98.72666666666667,97.62333333333333,98.43333333333334,97.86,97.87333333333333
113,South-1,Aman.Siddiqui,Zuhair.Ali,S1006,0,Other Cities,No,No,2G+3G+4G,BTS,-,-,Platinum,PGS,2004-09-30,Non USF Sites,Shared as Guest,Telecard,Centrum,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,83.1444141935484,80.06405220238094,91.92863655913979,98.85107477777775,98.76822053763442,94.98818744444445,87.50115559523807,85.40304666666668,84.84725777777778,85.04570098502305,97.53582758661888,85.91715334656084,86.40542161290321,79.23485422222221,85.22106612903227,91.05920075268814,95.31057000000001,99.38333333333333,99.14999999999999,70.04575666666666,52.90866666666667,99.39999999999999,99.44,99.10666666666667,99.24666666666667,99.16666666666667,99.22666666666667,99.09333333333332,99.11,72.44921333333333,98.89999999999999,99.28333333333335,99.10000000000001,99.02,99.10000000000001,96.58333333333333,94.44333333333333,95.13315333333334,99.09333333333332
88,South-1,aqib.rasheed,yousuf.gul.khan,S1009,0,Other Cities,No,No,2G+3G+4G,BTS,-,-,Platinum,PGS,2004-09-30,Non USF Sites,Shared as Guest,Telecard,Keemari,-,-,-,2024-10-10 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,82.7583987096774,82.78854119047618,82.72940795698922,87.91630911111113,93.25193741935485,87.36036111111112,82.06095333333336,81.81592752688174,73.44585066666669,82.75878261904761,89.50953588052569,79.10757717562727,71.82048795698925,65.47025077777776,76.24299741935485,89.65088526881719,98.36346966666665,93.83232666666667,93.74149,94.45169333333332,99.94892333333333,99.98691666666667,97.04758,98.09127666666666,97.42106666666666,97.18015000000001,97.1828,99.55546333333332,84.88587333333334,91.89491,98.49050666666666,99.10578333333332,98.87153666666666,98.51874,99.37110666666666,99.0731,98.83874666666667,99.99091,99.47935666666666
80,South-1,aqib.rasheed,AAFaroqui_s1,S1002,0,Saddar,No,No,2G+3G+4G,BTS,-,-,Platinum,PGS,2004-09-30,Non USF Sites,Not Shared,-,-,-,-,-,2024-12-15 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,99.79225806451615,99.30863297619047,99.92913978494623,99.28938033333333,99.52354838709677,99.39391766666668,99.75497904761905,99.63299533333334,99.48425666666665,99.67667694188428,99.40228212903226,99.62407701587301,99.47583795698927,99.45492877777778,99.51094064516128,98.5571664516129,99.46199999999999,99.17,99.20333333333333,99.38666666666666,99.55666666666667,99.31,99.57666666666667,99.24000000000001,99.43666666666667,99.44,99.49666666666667,99.18666666666667,99.74333333333334,99.45666666666666,99.57666666666667,99.42333333333333,99.55666666666667,99.79666666666667,99.08666666666666,99.53666666666668,99.44,99.43666666666667,99.31
75,South-2,Abdul.Salam,imran.ali_s2,S2008,20,Hyderabad,No,No,2G+3G+4G,PTN Node Site,-,-,Platinum,PGS,2004-09-30,Non USF Sites,Not Shared,-,-,-,Yes,-,2022-03-21 00:00:00,450,390,420,450,540,570,480,900,600,540,480,420,91.43234387096774,95.97976523809525,97.5318923655914,92.47386277777778,85.02013559139785,89.07590388888889,90.03883844444444,73.76247266666668,90.37436377777779,94.98133382488481,88.85663408602151,84.72522496296297,96.27444150537633,95.08116788888886,93.43634387096773,88.0982535483871,95.59328333333335,47.83642666666666,49.53599666666667,53.45334,80.94081666666666,94.15826666666668,98.62666666666667,99.22666666666667,98.25666666666667,98.02333333333333,96.56832000000001,97.02206000000001,98.24666666666667,97.19105,89.97547333333334,96.78893000000001,94.53503,95.93693,95.08487000000001,95.39062666666666,94.94325666666667,98.00333333333333,98.08333333333333
